CONTAINER           IMAGE                                                                                                                    CREATED             STATE               NAME                       ATTEMPT             POD ID              POD                                      NAMESPACE
5f6964a8fd986       7c9291d1aa16d5f9318723ef9d09c109cc0b32fcadbe6d0369ea3856318e4fb7                                                         About an hour ago   Running             kube-multus                0                   657779ed657f5       kube-multus-ds-srwcr                     kube-system
c209c22147b72       7c9291d1aa16d5f9318723ef9d09c109cc0b32fcadbe6d0369ea3856318e4fb7                                                         About an hour ago   Exited              install-multus-binary      0                   657779ed657f5       kube-multus-ds-srwcr                     kube-system
b756939375f5a       b4aa2920cf3a350bf24853cfcee098f55447aec2baaa07effeffadf495af7e23                                                         About an hour ago   Running             kube-state-metrics         0                   3692f48f91a38       kube-state-metrics-7b4b5cb479-ls89q      kube-system
08622075a8d00       b7229d5facda2ee89b65c5a64fd65239726936e316bef4dca7a4afd932453160                                                         About an hour ago   Running             pmtud                      0                   65402f61ad326       pmtud-8wm8d                              ves-system
50312b1c13164       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   65402f61ad326       pmtud-8wm8d                              ves-system
61e8c0cdfca06       b7229d5facda2ee89b65c5a64fd65239726936e316bef4dca7a4afd932453160                                                         About an hour ago   Exited              init-pmtud                 0                   65402f61ad326       pmtud-8wm8d                              ves-system
2504576521c84       5d984236fdbb1cd8438e2cb2160fdda2bf13b9576756e8e01d8a7d9851033ea0                                                         About an hour ago   Running             bfd                        0                   32c6195bd727a       frr-j2c5x                                ves-system
359c21ce745e4       5d984236fdbb1cd8438e2cb2160fdda2bf13b9576756e8e01d8a7d9851033ea0                                                         About an hour ago   Running             frr                        0                   32c6195bd727a       frr-j2c5x                                ves-system
55783f32779c7       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   32c6195bd727a       frr-j2c5x                                ves-system
e443bd23e6e2b       5d984236fdbb1cd8438e2cb2160fdda2bf13b9576756e8e01d8a7d9851033ea0                                                         About an hour ago   Exited              init-frr                   0                   32c6195bd727a       frr-j2c5x                                ves-system
7768dc8ae2792       665f6ddc953282ca7558898bb86c054519ceefe3e3e1f044c8c927c694905bbc                                                         About an hour ago   Running             openvpn2                   0                   cf46b40203d7e       openvpn-dm55h                            ves-system
068b8b85fdd74       665f6ddc953282ca7558898bb86c054519ceefe3e3e1f044c8c927c694905bbc                                                         About an hour ago   Running             openvpn1                   0                   cf46b40203d7e       openvpn-dm55h                            ves-system
5ad62a9a6b830       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   cf46b40203d7e       openvpn-dm55h                            ves-system
ed2084d40f120       665f6ddc953282ca7558898bb86c054519ceefe3e3e1f044c8c927c694905bbc                                                         About an hour ago   Exited              init-openvpn               0                   cf46b40203d7e       openvpn-dm55h                            ves-system
386be4da46db4       37dd6067e63194bfc0d1012d0256f167ad9777c4627946e3ee04c292cb42e87e                                                         About an hour ago   Running             ike                        0                   4c6c3b227a2ad       ike-r87hq                                ves-system
b1362ac5a4f82       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   4c6c3b227a2ad       ike-r87hq                                ves-system
fbcccd73d7736       37dd6067e63194bfc0d1012d0256f167ad9777c4627946e3ee04c292cb42e87e                                                         About an hour ago   Exited              init-ike                   0                   4c6c3b227a2ad       ike-r87hq                                ves-system
cb3c530d98156       dc3ad5614cf89f26873b6f40ea633c212c50a0b5ad378700ef19061a40fbca29                                                         About an hour ago   Running             envoy0                     0                   484a5fad90d93       envoy-r6tn4                              ves-system
6b1e8faf9c4df       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   484a5fad90d93       envoy-r6tn4                              ves-system
8b208dcf380b0       d0b56d3390c397efcb05f34f9fcde63d2292a97422e503e3f4824ce0a121cf3a                                                         About an hour ago   Exited              geoip-db                   0                   484a5fad90d93       envoy-r6tn4                              ves-system
2387c74fe5b44       0a3f6c4fee0f7990975702844f8be063933009d46e5e3fd4bca853e42046854e                                                         About an hour ago   Running             vega                       0                   2e508906204c5       ver-65spc                                ves-system
41ea5ef5b0176       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   2e508906204c5       ver-65spc                                ves-system
948734b3f912c       0a3f6c4fee0f7990975702844f8be063933009d46e5e3fd4bca853e42046854e                                                         About an hour ago   Exited              vega-l2vlan                0                   2e508906204c5       ver-65spc                                ves-system
6d7107280de90       0a3f6c4fee0f7990975702844f8be063933009d46e5e3fd4bca853e42046854e                                                         About an hour ago   Exited              envoy-netns                0                   2e508906204c5       ver-65spc                                ves-system
6dd6199e4a71d       fb28ff5dfd48c3fc0c2573aa1755efb520e71f56d8e6ef4ca7a79ed661cff90d                                                         About an hour ago   Running             vegacfgd                   0                   fcbc046959746       ver-55c56b898c-fdpsz                     ves-system
c491fe1bd6925       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   fcbc046959746       ver-55c56b898c-fdpsz                     ves-system
847466d8ccc19       00330603e47c1f4cb22844cfd82e979040131c5a99a55a156a471b7bee1ec403                                                         About an hour ago   Exited              add-cni                    0                   2e508906204c5       ver-65spc                                ves-system
225ae9def8116       004982c75f5e2b7330b6b9c1fde958f5e60d516f78c941104a9bb7738b303394                                                         About an hour ago   Running             asaf                       1                   bc6e3ce9819eb       asaf-fbh64                               ves-system
210f65a6c7030       053e48754790f26c460746db1552b7b26d37ab4ad77804a9a0650915a788037e                                                         About an hour ago   Running             komodo                     0                   7db75c43c75c4       komodo-dpq7h                             ves-system
e4016985978e4       e4536c493ec76e86d4e1d062d4db6b952a38bdcbabf9f305409d78cdae3199cb                                                         About an hour ago   Running             wingman                    0                   7db75c43c75c4       komodo-dpq7h                             ves-system

... [capture trimmed: first 60 of 94 lines]
